,Population Density (Per Sq. Mile),Area (Land),% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,Households:,Median Household Income (In 2019 Inflation Adjusted Dollars),Per Capita Income (In 2019 Inflation Adjusted Dollars),Renter-Occupied Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units with Cash Rent,Population for Whom Poverty Status Is Determined:,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
114,2995.658,0.308780195,0.43,0,80,22000,4434,76,4,76,134,0.418624252,-0.110092022,10,29.08332253,39.00233841,46769.45313,47227.17969,47589.72266,15349.39844,15427.0332,68.83560181,68.15420532,85.6700058,83.9147644,83.34038544,81.08462524
115,8406.442,0.170464496,4.54,2.23,878,73269,56232,662,216,645,1433,0.353934318,-0.175119728,10,34.99225998,40.5741272,47011.14453,47445.91406,47766.22656,15319.12598,15368.7373,69.59571838,68.80526733,86.69429016,84.76776123,84.21460724,81.82442474
116,4294.988,0.316881005,1.1,0,772,51016,81542,571,201,519,1361,0.33439675,-0.143847063,10,39.19346237,37.59938431,47635.23047,47573.25391,48078.8125,15362.42871,15408.40625,69.85768127,69.10705566,86.09275818,84.45717621,83.99572754,81.77059937
117,8538.175,0.235530435,0.9,0,747,56432,36823,526,221,501,1639,0.417233378,-0.110751674,10,31.52645302,41.32984543,46704.41016,47527.86328,47570.92188,15336.51367,15389.92383,69.76942444,69.03307343,85.74183655,84.31083679,83.74230957,81.58276367
118,3732.066,0.212750793,0,0,323,107589,45343,138,185,138,794,0.494936019,-0.267738402,10,11.42024803,54.81789398,45563.75,46585.42188,46673.28516,15281.50098,15330.02539,68.51876068,67.85126495,85.72764587,84.04631805,83.20433044,80.87748718
119,4257.067,0.189802038,1.73,0,321,56705,35024,166,155,166,808,0.482099086,-0.255124718,10,20.02308083,53.65452576,46126.87891,47389.17188,46806.44531,15307.51172,15363.0752,68.75830841,68.108284,85.66619873,83.99234009,82.95606995,80.76221466
120,4427.899,0.234422708,0,0,511,69792,94359,242,269,224,1038,0.556854367,-0.232075766,10,13.08377457,56.83578491,46449.17578,46997.27344,46957.51172,15299.72754,15365.50781,68.42041779,67.79503632,85.77610016,84.01850891,82.98544312,80.70333862
121,4517.153,0.195255731,0,3.74,368,,36713,285,83,285,850,0.28952077,-0.135688201,50,45.48928452,38.30376053,47440.64063,47489.98438,47460.01172,15317.15137,15427.40918,69.89353943,69.14109802,86.04547119,84.2926712,84.16593933,81.9916153
122,4940.027,0.28643569,2.26,4.17,509,79356,48886,201,308,201,1415,0.47782895,-0.177541971,10,21.51582909,50.98291016,46543.35938,47314.55859,47085.16016,15299.21094,15345.22461,68.87683105,68.2166748,86.42671204,84.26477051,83.24268341,80.90517426
123,2053.365,0.685703563,6.11,1.99,713,99886,71092,283,430,283,1408,0.486237675,-0.266522557,10,17.21860695,57.71168137,45566.52344,46461.72656,46308.22656,15238.42188,15278.5625,68.70126343,67.88799286,85.65913391,83.7442627,82.41120148,80.4552536
